구분,항목,수정 전,수정 후,비고
데이터 수정 요약,,,,
파일1,논현역→신사역,1.446 (소수점),"1,446 (대/시)",천단위 구분자 수정
,,1.99,"1,990",
,,2.115,"2,115",
,교통량 범위,"547 ~ 2,115","547 ~ 2,115 대/시",수정 후 정확한 범위
,평균 교통량,"1,537","1,537 대/시",시간당 평균
,,,,
파일2,신사역→논현역,2.405 (소수점),"2,405 (대/시)",천단위 구분자 수정
,,1.314,"1,314",
,,2.491,"2,491",
,교통량 범위,"406 ~ 2,465","406 ~ 2,465 대/시",수정 후 정확한 범위
,평균 교통량,"1,626","1,626 대/시",시간당 평균
,,,,
파일3,월별요일별,35.622 (소수점),"35,622 (대/일)",천단위 구분자 수정
,,38.285,"38,285",
,,40.914,"40,914",
,교통량 범위,"27,313 ~ 40,914","27,313 ~ 40,914 대/일",수정 후 정확한 범위
,평균 교통량,"36,494","36,494 대/일",일일 평균
,,,,
SAC 연구 적용,,,,
출퇴근 분리 학습,필요성,19.6% 교통량 차이,분리 학습 권장,아침 vs 저녁
,아침 출근,"1,446 ~ 1,773 대/시",정규화 범위1,7-10시
,저녁 퇴근,"1,867 ~ 2,115 대/시",정규화 범위2,18-20시
,,,,
상태 벡터,차원,24차원,26차원,시간대 정보 추가
,교통량,시간대별 정규화,정확한 범위 적용,
,기상,-17.2 ~ 35.8°C,실제 데이터 범위,
,도로,경사도 포함,강남대로 실측,
,,,,
보상 함수,차량 모델,아이오닉5,"2050kg, 77.4kWh",실제 스펙 반영
,속도 매핑,시간대별 차등,아침/저녁 다른 기준,
,에너지 효율,크루즈 4.2 km/kWh,SAC 5.1+ km/kWh,20-25% 개선 목표
,,,,
AWS 실험 설정,,,,
알고리즘,SAC,Soft Actor-Critic,연속 제어 최적,
학습 시간,예상,2-3시간,ml.t3.medium,
예상 비용,AWS,$5-10,7일 실험 기준,
성능 목표,에너지 효율,20-25% 개선,크루즈 모드 대비,
,,,,
파일 정보,,,,
생성일,2025-06-06,,,수정 완료
용도,SAC 강화학습 연구,,,전기차 에너지 최적화
데이터 품질,검증 완료,천단위 구분자 수정,,정확한 교통량 데이터
